,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
21,18/03/2023 22:47,Dance Fruits Music,Cups,766,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,76,Cups,55,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
22,18/03/2023 22:47,Dance Fruits Music,Cha Cha Slide,87294,0RC2B9uIITHA0wtDFfQk3K,DJ Casper,43,Cha Cha Slide,52,,,,,,,,,,0.978,0.691,-5.787,0.218,0.00148,7.99E-05,0.28,0.482,122.026,387493,4
23,18/03/2023 20:08,Nathan Dawe,Lighter (feat. KSI),182439,5lWUeSYO61UYgNlFlqcwYl,Nathan Dawe,67,Lighter (feat. KSI),62,pop dance,uk dance,,,,,,,,0.703,0.837,-3.606,0.0395,0.0214,4.45E-05,0.104,0.356,124.953,182439,4
24,18/03/2023 20:05,Harry Styles,Music For a Sushi Restaurant,193813,5LYMamLv12UPbemOaTPyeV,Harry Styles,89,Harry's House,82,pop,,,,,,,,,0.72,0.715,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
25,18/03/2023 20:02,MKTO,Classic,175426,3JMAdPq5TUOKBGsTATjLEH,MKTO,66,MKTO,61,pop,post-teen pop,,,,,,,,0.554,0.767,-5.043,0.0497,0.114,0,0.231,0.497,122.846,225747,4
26,18/03/2023 19:59,MEDUZA,Bad Memories,148629,3rb0tMq42WfggucPm0HHkA,MEDUZA,78,Bad Memories (feat. Elley Duhé & FAST BOY),86,pop dance,pop house,uk dance,,,,,,,0.607,0.767,-6.069,0.0474,0.118,0,0.122,0.662,123.998,148629,3
27,18/03/2023 19:56,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,76,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
28,18/03/2023 19:54,Alesso,When I’m Gone (with Katy Perry),161266,5902W4uHWzhtOff1UK7the,Alesso,76,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,tropical house,,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
29,18/03/2023 19:51,Tiësto,Don't Be Shy,140500,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,85,Don't Be Shy,81,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
30,18/03/2023 19:49,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
