,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
21,2023-03-18 22:47,Dance Fruits Music,Cups,766,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
22,2023-03-18 22:47,Dance Fruits Music,Cha Cha Slide,87294,1vvBUZseJ7fwYPX1NedOLd,Freddie Dredd,75,Cha Cha,70,aesthetic rap,meme rap,phonk,,,,,,,0.792,0.698,-6.364,0.172,0.489,0.0788,0.127,0.751,129.971,173938,4
23,2023-03-18 20:08,Nathan Dawe,Lighter (feat. KSI),182439,5lWUeSYO61UYgNlFlqcwYl,Nathan Dawe,66,Lighter (feat. KSI),63,pop dance,uk dance,,,,,,,,0.703,0.837,-3.606,0.0395,0.0214,4.45e-05,0.104,0.356,124.953,182439,4
24,2023-03-18 20:05,Harry Styles,Music For a Sushi Restaurant,193813,5LYMamLv12UPbemOaTPyeV,Harry Styles,88,Harry's House,82,pop,,,,,,,,,0.72,0.715,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041,193813,4
25,2023-03-18 20:02,MKTO,Classic,175426,6FE2iI43OZnszFLuLtvvmg,MKTO,66,MKTO,83,pop,post-teen pop,,,,,,,,0.72,0.791,-4.689,0.124,0.0384,0,0.157,0.756,102.071,175427,4
26,2023-03-18 19:59,MEDUZA,Bad Memories,148629,3rb0tMq42WfggucPm0HHkA,MEDUZA,77,Bad Memories (feat. Elley Duhé & FAST BOY),86,pop dance,pop house,uk dance,,,,,,,0.607,0.767,-6.069,0.0474,0.118,0,0.122,0.662,123.998,148629,3
27,2023-03-18 19:56,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,73,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
28,2023-03-18 19:54,Alesso,When I’m Gone (with Katy Perry),161266,5902W4uHWzhtOff1UK7the,Alesso,75,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,progressive electro house,tropical house,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
29,2023-03-18 19:51,Tiësto,Don't Be Shy,140500,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,84,Don't Be Shy,80,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
30,2023-03-18 19:49,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
31,2023-03-18 19:46,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
32,2023-03-18 19:44,Dance Fruits Music,Cups,136567,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
33,2023-03-18 19:42,MELON,Blue (Da Ba Dee),51898,5WyD2lZhEeTNg91oEF0TYK,MELON,71,Blue (Da Ba Dee),63,lo-fi cover,slap house,,,,,,,,0.772,0.871,-4.267,0.0389,0.0938,0.248,0.097,0.323,124.975,132480,4
34,2023-03-18 18:44,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,73,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
